iter	RMSE
0	0.8337517877
1	0.8062247005
2	0.7778503148
3	0.7511753261
4	0.7273276588
5	0.7040170367
6	0.6817730675
7	0.6609271067
8	0.6411795675
9	0.622314332
10	0.6048958886
11	0.5883414266
12	0.5723780566
13	0.5581532899
14	0.5438550441
15	0.5311150875
16	0.5184234234
17	0.5072756442
18	0.4961756154
19	0.4857326357
20	0.4766987247
21	0.4682595862
22	0.4600344581
23	0.4522331727
24	0.4451185463
25	0.4381291393
26	0.4314099018
27	0.4247736113
28	0.4187871463
29	0.4132105275
30	0.4083050019
31	0.4038351128
32	0.3994493204
33	0.3952522933
34	0.39168666
35	0.3880581531
36	0.3847739166
37	0.3814748302
38	0.3783975834
39	0.3758072123
40	0.3731103386
41	0.3706812992
42	0.3682892044
43	0.3659854726
44	0.3638686109
45	0.3620371823
46	0.3599921835
47	0.3583191372
48	0.3565568907
49	0.3548655158
50	0.3532419411
51	0.3519189805
52	0.3503593971
53	0.3489070962
54	0.3476574121
55	0.3463391371
56	0.3451530884
57	0.3442807691
58	0.3432575673
59	0.342197752
60	0.3412303934
61	0.3403168246
62	0.339397642
63	0.338645491
64	0.3377603093
65	0.337043933
66	0.3363018647
67	0.3355559132
68	0.3345964209
69	0.3340241382
70	0.333440266
71	0.3329635127
72	0.3323681209
73	0.3318246586
74	0.3313979062
75	0.331032276
76	0.33049996
77	0.3300125851
78	0.329559436
79	0.3290601639
80	0.3286322349
81	0.3280596978
82	0.327559909
83	0.3270476264
84	0.3266876406
85	0.3260608679
86	0.3255228753
87	0.3251511911
88	0.3245486126
89	0.3241714097
90	0.3238811657
91	0.3236022495
92	0.3230922517
93	0.3227363519
94	0.3223981491
95	0.3220696098
96	0.321920973
97	0.3215858294
98	0.3212664778
99	0.3209844725
100	0.3206884667
101	0.3204699279
102	0.320099035
103	0.3198652212
104	0.3196393396
105	0.3192593306
106	0.318741449
107	0.3183783072
108	0.3182034262
109	0.3177575887
110	0.317554734
111	0.3173701312
112	0.3169215338
113	0.31667767
114	0.3164977933
115	0.3162955292
116	0.315917591
117	0.315570994
118	0.315431123
119	0.3151973061
