iter	Passed	Remaining
0	7	14509
1	9	9565
2	12	8013
3	14	7018
4	15	6350
5	18	6028
6	20	5791
7	22	5686
8	24	5470
9	26	5312
10	28	5151
11	30	5032
12	32	4959
13	34	4888
14	36	4793
15	38	4738
16	40	4735
17	42	4681
18	44	4630
19	46	4570
20	47	4520
21	49	4470
22	51	4443
23	53	4404
24	55	4386
25	57	4364
26	59	4376
27	61	4342
28	63	4305
29	65	4285
30	67	4263
31	68	4236
32	70	4211
33	72	4210
34	74	4204
35	76	4183
36	78	4168
37	80	4157
38	82	4139
39	84	4138
40	86	4130
41	88	4116
42	90	4112
43	92	4090
44	93	4075
45	95	4056
46	97	4041
47	99	4035
48	101	4023
49	102	4007
50	104	3998
51	106	4004
52	108	4002
53	110	3998
54	112	3990
55	114	3981
56	116	3970
57	118	3966
58	120	3949
59	122	3952
60	124	3943
61	125	3932
62	127	3930
63	129	3918
64	131	3911
65	133	3915
66	135	3919
67	138	3924
68	140	3930
69	142	3918
70	144	3913
71	145	3903
72	147	3896
73	149	3891
74	151	3884
75	153	3879
76	155	3877
77	157	3870
78	158	3863
79	160	3855
80	162	3847
81	164	3845
82	166	3839
83	168	3836
84	170	3830
85	171	3827
86	173	3823
87	175	3818
88	177	3812
89	179	3804
90	181	3800
91	183	3796
92	184	3787
93	186	3784
94	188	3788
95	190	3783
96	191	3764
97	193	3761
98	195	3757
99	197	3750
100	199	3743
101	200	3735
102	203	3745
103	205	3738
104	206	3733
105	208	3727
106	210	3726
107	212	3721
108	214	3717
109	216	3715
110	218	3712
111	220	3711
112	222	3708
113	223	3702
114	225	3696
115	227	3691
116	229	3687
117	231	3686
118	233	3686
119	234	3678
120	236	3680
121	238	3676
122	240	3669
123	242	3669
124	243	3659
125	245	3653
126	247	3649
127	249	3644
128	251	3641
129	253	3639
130	254	3636
131	257	3637
132	258	3633
133	260	3627
134	262	3623
135	264	3623
136	266	3620
137	267	3613
138	270	3615
139	271	3609
140	273	3609
141	275	3605
142	277	3600
143	279	3597
144	280	3594
145	282	3589
146	284	3585
147	286	3588
148	289	3595
149	291	3594
150	293	3592
151	295	3588
152	296	3583
153	298	3580
154	300	3577
155	302	3578
156	305	3580
157	307	3580
158	309	3580
159	310	3574
160	313	3581
161	315	3576
162	317	3574
163	319	3579
164	321	3577
165	322	3561
166	324	3557
167	324	3542
168	326	3539
169	328	3536
170	330	3532
171	331	3527
172	333	3523
173	336	3526
174	338	3525
175	339	3522
176	341	3519
177	343	3518
178	344	3506
179	345	3497
180	347	3492
181	349	3489
182	351	3490
183	353	3490
184	355	3485
185	356	3481
186	358	3473
187	359	3460
188	359	3447
189	361	3444
190	363	3439
191	365	3437
192	367	3437
193	368	3428
194	370	3426
195	371	3421
196	373	3418
197	375	3416
198	376	3408
199	378	3404
200	379	3399
201	380	3387
202	382	3383
203	383	3374
204	384	3366
205	386	3363
206	387	3358
207	389	3356
208	391	3353
209	393	3352
210	395	3349
211	395	3338
212	397	3332
213	399	3336
214	400	3326
215	401	3318
216	403	3315
217	404	3304
218	405	3300
219	407	3297
220	408	3288
221	410	3284
222	411	3277
223	412	3272
224	414	3269
225	416	3268
226	417	3262
227	418	3254
228	420	3250
229	420	3238
230	422	3235
231	423	3226
232	424	3221
233	426	3219
234	428	3215
235	429	3211
236	430	3203
237	433	3211
238	434	3203
239	436	3201
240	438	3198
241	439	3192
242	441	3189
243	441	3180
244	444	3183
245	446	3180
246	447	3177
247	449	3176
248	451	3173
249	452	3170
250	454	3166
251	455	3162
252	457	3156
253	458	3153
254	459	3147
255	460	3138
256	462	3135
257	464	3133
258	466	3133
259	467	3129
260	469	3126
261	470	3123
262	472	3121
263	474	3118
264	476	3117
265	477	3109
266	478	3106
267	480	3104
268	482	3102
269	483	3099
270	485	3095
271	485	3086
272	487	3084
273	489	3080
274	490	3077
275	491	3072
276	493	3069
277	494	3065
278	496	3061
279	498	3060
280	500	3058
281	501	3057
282	502	3050
283	504	3047
284	505	3044
285	507	3040
286	508	3037
287	510	3035
288	512	3033
289	512	3024
290	514	3024
291	516	3020
292	517	3017
293	519	3014
294	521	3011
295	522	3010
296	524	3007
297	526	3004
298	527	2999
299	528	2996
300	530	2995
301	532	2994
302	534	2992
303	535	2989
304	537	2985
305	539	2984
306	540	2981
307	542	2980
308	543	2976
309	545	2973
310	547	2973
311	549	2971
312	550	2966
313	551	2959
314	552	2957
315	554	2954
316	556	2953
317	558	2951
318	559	2948
319	561	2946
320	563	2945
321	565	2944
322	566	2941
323	568	2938
324	569	2935
325	571	2932
326	572	2930
327	575	2934
328	577	2934
329	579	2933
330	581	2932
331	583	2929
332	584	2926
333	586	2924
334	587	2921
